school,city,state,zip
North Harnett Primary School i,Angier,NC ,27501
East Carey Middle School,Cary,NC ,27511
Phillips Middle School,Chapel Hill ,NC ,27514
Glenwood Elementary School,Chapel Hill ,NC ,27517-4428 
South Academy of International Languages,Charlotte ,NC ,28210
East Voyager Academy,Charlotte ,NC ,28214
Roberta Road Middle School,Concord ,NC ,28027
Cox Mill Elementary,Concord ,NC ,28027-7566 
International Montessori School,Durham,NC ,27707
New Century International Elementary,Fayetteville ,NC ,28306-3053 
Triad International Studies Academya,Greensboro,NC ,
Harrisburg Elementary,Harrisburg,NC ,28075
Marvin Elementary,Marvin ,NC ,28173-8597 
ILIM School,Pineville,NC ,28134
Oberlin Magnet Middle School,Raleigh ,NC ,27608
Stough Elementary,Raleigh ,NC ,27612-5404 
Konnoack Elementary,Winston Salem ,NC ,27127-5030 
Tessa International School,Hoboken,NJ ,7030
YingHua International School,Kingston ,NJ ,08528-9621 
Hudson Way Immersion School,Stirling,NJ ,07980
Maurice Hawk Elementary School,West Windsor,NJ ,8550
Bamboo Shoots Mandarin School,Westfield ,NJ ,07090-2362 
Ms. Lam's Montessori School,Brooklyn ,NY ,11249
"Henry Longfellow International School for Language and Culture, PS 94",Brooklyn ,NY ,11220-2008 
PS 102 Q Bayview School,Elmhurst,NY ,11373
St. Michael's Catholic Academy,Flushing ,NY ,11355
Queens High School for Language Studies,Flushing ,NY ,11354-3405 
Pine Street School,Manhattan,NY ,10005
Hudson Way Immersion School,New York ,NY ,10019
Polis Montessori World School,New York ,NY ,10075
Avenues: The World School,New York ,NY ,10001-7020 
Anna Silver P.S. 20,New York ,NY ,10002-1502 
High School for Dual Language and Asian Studies,New York ,NY ,10002-4629 
Shuang Wen School P.S. 184,New York ,NY ,10002-6560 
Hudson Way Immersion School,New York ,NY ,10019 
Fresh Meadows P.S. 173,Queens ,NY ,11365- 
Global Ambassadors Language Academy,Cleveland ,OH ,44111-3432 
German International School ,Beaverton ,OR ,97005
Hope Chinese Charter School,Beaverton ,OR ,97005
Churchill High School,Eugene ,OR ,97405
Kennedy Middle School (will be K-8),Eugene ,OR ,97405
Palisades World Language School,Lake Oswego,OR ,97034
International School of Portland,Portland ,OR ,97201
Clark Elementary,Portland ,OR ,97216
Harrison Park Middle School,Portland ,OR ,97216
Jefferson High School,Portland ,OR ,97217
Harriet Tubman Middle School,Portland ,OR ,97227
Cleveland High School ,Portland ,OR ,97202-2130 
Woodstock Elementary School,Portland ,OR ,97206-5679 
Martin Luther King Elementary School,Portland ,OR ,97211-3912 
Gilkey International Middle School,Portland ,OR ,97229-6780 
Athey Creek Middle School,Tualatin,OR ,97062
Bolton Primary School,West Linn,OR ,97068
West Linn High school,West Linn,OR ,97068
Wilsonville High School,Wilsonville,OR ,97070
Broad River Elementary School,Beaufort ,SC ,29906-9489 
Belvedere Elementary School,Belvedere,SC ,29841
Hand Middle School,Columbia ,SC ,29205
Carver-Lyon Elementary,Columbia ,SC ,29204-1226 
"Music, Math, and Multilingual Christian Academy ",Greenville ,SC ,29607
East Link Academy,Greenville ,SC ,29608-4487
